lake,learner,k,rep,label_only_log_mae,calibrated_log_mae,source_only_log_mae,paired_delta_mae,rer_log,rer_reconstruction_denominator,reconstructed_rer
Lake Jasień Południowy,PLSR,5,69,0.1798723860789794,0.1605367838788544,,0.019335602200125007,0.1074962174386948,0.8925037825613052,0.10749621743869482
Lake Jasień Południowy,XGBoost,5,69,0.17987238607897943,0.1216838017546263,,0.05818858432435313,0.3234992449803322,0.6765007550196678,0.32349924498033233
Lake Jasień Południowy,MLP,5,69,0.17987238607897935,0.1249000446155293,,0.05497234146345005,0.3056185532732466,0.6943814467267534,0.30561855327324655
Lake Jasień Południowy,PLSR,10,69,0.19504741446767948,0.1441534134534123,,0.05089400101426719,0.2609314178496145,0.7390685821503855,0.2609314178496145
Lake Jasień Południowy,XGBoost,10,69,0.19504741446767948,0.1196187242396826,,0.07542869022799688,0.3867197448715651,0.6132802551284349,0.38671974487156513
Lake Jasień Południowy,MLP,10,69,0.19504741446767943,0.1298890179137966,,0.06515839655388284,0.3340643780952873,0.6659356219047128,0.3340643780952872
Lake Jasień Południowy,PLSR,1,70,0.3384659472782942,0.309709796501905,,0.02875615077638921,0.0849602453600533,0.9150397546399467,0.08496024536005335
Lake Jasień Południowy,XGBoost,1,70,0.33846594727829415,0.1518197796782073,,0.18664616760008684,0.5514473866174442,0.4485526133825558,0.5514473866174443
Lake Jasień Południowy,MLP,1,70,0.33846594727829415,0.1616921112808182,,0.17677383599747595,0.5222795149591031,0.4777204850408969,0.5222795149591031
Lake Jasień Południowy,PLSR,3,70,0.18031937600321635,0.1493795568862129,,0.030939819117003442,0.1715834320578909,0.8284165679421092,0.17158343205789073
Lake Jasień Południowy,XGBoost,3,70,0.18031937600321626,0.1093157418379277,,0.07100363416528857,0.393765949070069,0.606234050929931,0.393765949070069
Lake Jasień Południowy,MLP,3,70,0.18031937600321632,0.1099471736140859,,0.07037220238913042,0.3902642081305401,0.6097357918694599,0.39026420813054014
Lake Jasień Południowy,PLSR,5,70,0.23735998215590315,0.1751495143276586,,0.06221046782824455,0.2620933176783364,0.7379066823216636,0.2620933176783364
Lake Jasień Południowy,XGBoost,5,70,0.23735998215590318,0.1373763997654566,,0.09998358239044658,0.4212318237893064,0.5787681762106935,0.4212318237893065
Lake Jasień Południowy,MLP,5,70,0.237359982155903,0.1332457648802092,,0.10411421727569381,0.4386342295095351,0.5613657704904649,0.4386342295095351
Lake Jasień Południowy,PLSR,10,70,0.19394215848968727,0.1305871217773387,,0.06335503671234857,0.3266697346210059,0.6733302653789941,0.326669734621006
Lake Jasień Południowy,XGBoost,10,70,0.19394215848968724,0.125071192381394,,0.06887096610829324,0.3551108386825912,0.6448891613174088,0.3551108386825912
Lake Jasień Południowy,MLP,10,70,0.19394215848968716,0.1327608007329383,,0.06118135775674885,0.3154618628490903,0.6845381371509097,0.3154618628490903
Lake Jasień Południowy,PLSR,1,71,0.19060000299832197,0.1774153428433776,,0.013184660154944378,0.0691744976694229,0.9308255023305771,0.0691744976694228
Lake Jasień Południowy,XGBoost,1,71,0.190600002998322,0.1270413926565227,,0.0635586103417993,0.3334659286846892,0.6665340713153107,0.33346592868468933
Lake Jasień Południowy,MLP,1,71,0.19060000299832197,0.1558117985266747,,0.034788204471647266,0.1825194233955983,0.8174805766044018,0.1825194233955983
Lake Jasień Południowy,PLSR,3,71,0.17679508514186756,0.1716481587000495,,0.0051469264418180505,0.0291123825448208,0.9708876174551792,0.02911238254482087
Lake Jasień Południowy,XGBoost,3,71,0.17679508514186756,0.1187243068459052,,0.05807077829596237,0.3284637407466764,0.6715362592533236,0.3284637407466764
Lake Jasień Południowy,MLP,3,71,0.17679508514186762,0.140994406201225,,0.03580067894064262,0.2024981457314451,0.7975018542685549,0.20249814573144517
Lake Jasień Południowy,PLSR,5,71,0.23638177792931928,0.1933972200660095,,0.042984557863309764,0.1818437800976556,0.8181562199023444,0.18184378009765548
Lake Jasień Południowy,XGBoost,5,71,0.23638177792931933,0.1183253973505682,,0.11805638057875113,0.4994309486061221,0.5005690513938779,0.4994309486061221
Lake Jasień Południowy,MLP,5,71,0.23638177792931922,0.1133589071993434,,0.12302287072997582,0.5204414088227517,0.4795585911772483,0.5204414088227517
Lake Jasień Południowy,PLSR,10,71,0.22893491149033468,0.189358707704622,,0.039576203785712694,0.1728709780407335,0.8271290219592665,0.1728709780407335
Lake Jasień Południowy,XGBoost,10,71,0.2289349114903347,0.1608897198003589,,0.0680451916899758,0.2972250421517653,0.7027749578482347,0.29722504215176526
Lake Jasień Południowy,MLP,10,71,0.2289349114903347,0.1619873599870144,,0.0669475515033203,0.2924304910212081,0.7075695089787919,0.29243049102120805
Lake Jasień Południowy,PLSR,1,72,0.33846594727829427,0.309709796501905,,0.028756150776389267,0.0849602453600535,0.9150397546399465,0.0849602453600535
Lake Jasień Południowy,XGBoost,1,72,0.3384659472782942,0.1518197796782073,,0.1866461676000869,0.5514473866174443,0.4485526133825557,0.5514473866174443
Lake Jasień Południowy,MLP,1,72,0.33846594727829415,0.1616921112808182,,0.17677383599747595,0.5222795149591031,0.4777204850408969,0.5222795149591031
Lake Jasień Południowy,PLSR,3,72,0.2226291565596083,0.1563516209094635,,0.0662775356501448,0.2977037405941112,0.7022962594058888,0.2977037405941112
Lake Jasień Południowy,XGBoost,3,72,0.22262915655960835,0.1226798144830655,,0.09994934207654285,0.448949900056252,0.551050099943748,0.448949900056252
Lake Jasień Południowy,MLP,3,72,0.2226291565596083,0.0960722600568754,,0.12655689650273289,0.5684650329445835,0.4315349670554165,0.5684650329445835
Lake Jasień Południowy,PLSR,5,72,0.20249104041858904,0.1955391358902741,,0.006951904528314928,0.0343319100471057,0.9656680899528943,0.034331910047105625
Lake Jasień Południowy,XGBoost,5,72,0.2024910404185891,0.1417367390737917,,0.060754301344797396,0.3000345013728075,0.6999654986271925,0.30003450137280746
Lake Jasień Południowy,MLP,5,72,0.202491040418589,0.145620156119921,,0.05687088429866802,0.2808562856536358,0.7191437143463641,0.28085628565363585
Lake Jasień Południowy,PLSR,10,72,0.19290292403497303,0.1315920887081324,,0.06131083532684062,0.3178325702175428,0.6821674297824571,0.31783257021754296
Lake Jasień Południowy,XGBoost,10,72,0.19290292403497294,0.1070477532234759,,0.08585517081149704,0.4450692844098041,0.5549307155901959,0.4450692844098041
Lake Jasień Południowy,MLP,10,72,0.19290292403497297,0.1142189176603873,,0.07868400637458567,0.4078942954818945,0.5921057045181055,0.4078942954818945
Lake Jasień Południowy,PLSR,1,73,0.3384659472782942,0.309709796501905,,0.02875615077638921,0.0849602453600533,0.9150397546399467,0.08496024536005335
Lake Jasień Południowy,XGBoost,1,73,0.33846594727829415,0.1518197796782073,,0.18664616760008684,0.5514473866174442,0.4485526133825558,0.5514473866174443
Lake Jasień Południowy,MLP,1,73,0.33846594727829415,0.1616921112808182,,0.17677383599747595,0.5222795149591031,0.4777204850408969,0.5222795149591031
Lake Jasień Południowy,PLSR,3,73,0.18173397584545867,0.1651307019979356,,0.01660327384752308,0.0913603130987399,0.9086396869012601,0.09136031309873997
