lake,learner,k,lake_label_only_log_mae,lake_calibrated_log_mae,lake_source_only_log_mae,lake_paired_delta_mae,repeat_count,positive_delta_repeat_fraction,median_component_difference,median_pairing_gap
Lake Hume,PLSR,3,0.2570570553315541,0.19823761503406706,,0.04928904012365248,100,1.0,0.058819440297487036,-0.009530400173834552
Lake Hume,PLSR,5,0.25075211599106384,0.1867495837236815,,0.06512512786009021,100,0.8,0.06400253226738234,0.001122595592707873
Lake Hume,PLSR,10,0.23488693103212238,0.16468644168409424,,0.07034208651319705,100,0.98,0.07020048934802814,0.00014159716516891352
Lake Hume,XGBoost,1,0.25522074873986544,0.185618700943642,,0.07143460425387153,100,0.86,0.06960204779622345,0.0018325564576480852
Lake Hume,XGBoost,3,0.2570570553315541,0.16286477525189058,,0.08850149032382701,100,0.98,0.09419228007966352,-0.005690789755836506
Lake Hume,XGBoost,5,0.25075211599106395,0.19135607481623765,,0.0547941571396174,100,0.76,0.0593960411748263,-0.004601884035208906
Lake Hume,XGBoost,10,0.23488693103212244,0.14516883175679818,,0.08783572090138311,100,0.98,0.08971809927532426,-0.001882378373941146
Lake Jasień Południowy,MLP,1,0.2204687346795921,0.1558117985266748,,0.07216239695418082,100,0.96,0.06465693615291732,0.0075054608012635055
Lake Jasień Południowy,MLP,3,0.20047096280000487,0.12213317491657255,,0.07582472467376393,100,1.0,0.07833778788343232,-0.0025130632096683897
Lake Jasień Południowy,MLP,5,0.19956754845644076,0.12619533921299636,,0.07424976016121584,100,0.99,0.0733722092434444,0.0008775509177714469
Lake Jasień Południowy,MLP,10,0.19774963958392033,0.1235483315422306,,0.07205738364308037,100,1.0,0.07420130804168973,-0.0021439243986093592
Lake Jasień Południowy,PLSR,1,0.22046873467959216,0.208864970325439,,0.014934134311754554,100,0.89,0.011603764354153168,0.0033303699576013868
Lake Jasień Południowy,PLSR,3,0.20047096280000493,0.1758013683927643,,0.019098754978159882,100,0.9,0.02466959440724062,-0.005570839429080737
Lake Jasień Południowy,PLSR,5,0.1995675484564407,0.19071457050557156,,0.011181493584887514,100,0.75,0.008852977950869145,0.002328515634018369
Lake Jasień Południowy,PLSR,10,0.19774963958392022,0.1428435693330466,,0.05643573397487964,100,0.98,0.05490607025087363,0.0015296637240060085
Lake Jasień Południowy,XGBoost,1,0.2204687346795921,0.1554675501922481,,0.06355861034179933,100,0.93,0.06500118448734402,-0.0014425741455446894
