outer_lake,inner_validation_lake,inner_training_group_count,inner_training_site_count,outer_groups_in_inner_training,inner_validation_groups_in_inner_training,inner_validation_group_count,exclusion_status
Lake Kummerow,Garda,4229,396,0,0,37,VERIFIED
Lake Kummerow,Geist Reservoir,4210,396,0,0,56,VERIFIED
Lake Kummerow,High Rock Lake,4180,396,0,0,86,VERIFIED
Lake Kummerow,Ibitinga Reservoir,4238,396,0,0,28,VERIFIED
Lake Kummerow,Lake Chotkowskie,4244,396,0,0,22,VERIFIED
Lake Kummerow,Lake Erie,3740,396,0,0,526,VERIFIED
Lake Kummerow,Lake Geneva,4246,396,0,0,20,VERIFIED
Lake Kummerow,Lake Hume,4227,396,0,0,39,VERIFIED
Lake Kummerow,Lake Jasień Południowy,4244,396,0,0,22,VERIFIED
Lake Kummerow,Lake Jeleń,4244,396,0,0,22,VERIFIED
Lake Kummerow,Lake Kasumigaura,4078,396,0,0,188,VERIFIED
Lake Kummerow,Lake Obłęże,4246,396,0,0,20,VERIFIED
Lake Kummerow,Lake Peipsi,4192,396,0,0,74,VERIFIED
Lake Kummerow,Lake Winnipeg,4221,396,0,0,45,VERIFIED
Lake Kummerow,Lake Łebsko,4234,396,0,0,32,VERIFIED
Lake Kummerow,Mantova,4235,396,0,0,31,VERIFIED
