outer_lake,source_site,normalized_source_site,countries,water_body_type_codes,group_count,dataset_ids,organization_ids,tss_methods,raw_record_count,centroid_lat,centroid_lon,eligible_target_site,auxiliary_source_site,exact_name_collision_with_outer,normalized_name_collision_with_outer
Ibitinga Reservoir,"Point Aux Chenes Bay, MS",point aux chenes bay ms,United States of America (the),2,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,30.352000,-88.446000,False,True,False,False
Ibitinga Reservoir,Rainbow Flowage,rainbow flowage,United States of America (the),1,4,GrebSR_US_WDNR,WDNR,APHA 2540 D,4,45.856500,-89.519000,False,True,False,False
Ibitinga Reservoir,Red River,red river,Viet Nam,4,40,NguyenTTH_VN_VNU-HUS,VNU-HUS,APHA 2540 D,40,21.287500,105.390000,False,True,False,False
Ibitinga Reservoir,"Redfish Bay, TX",redfish bay tx,United States of America (the),2,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,27.901000,-97.099000,False,True,False,False
Ibitinga Reservoir,"Rhode River, MD",rhode river md,United States of America (the),4,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,38.866000,-76.514000,False,True,False,False
Ibitinga Reservoir,Roatan Island Inshore,roatan island inshore,Honduras,3,5,SchallesJ_US_Creighton,Creighton,Creighton TSS,5,16.327000,-86.534000,False,True,False,False
Ibitinga Reservoir,Roatan Island Offshore,roatan island offshore,Honduras,3,10,SchallesJ_US_Creighton,Creighton,Creighton TSS,10,16.323500,-86.583000,False,True,False,False
Ibitinga Reservoir,"Roberts Bay, FL",roberts bay fl,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,27.110000,-82.455000,False,True,False,False
Ibitinga Reservoir,Rock Lake,rock,United States of America (the),1,12,GrebSR_US_WDNR,WDNR,APHA 2540 D,12,43.080000,-88.929000,False,True,False,False
Ibitinga Reservoir,Roodeplaat,roodeplaat,South Africa,1,17,KravitzJ_ZA_UCT,UCT,APHA 2540 D,17,-25.626000,28.372000,False,True,False,False
Ibitinga Reservoir,Rosarito,rosarito,Spain,1,2,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,2,40.103000,-5.311500,False,True,False,False
Ibitinga Reservoir,Rotognaro,rotognaro,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-37.485000,175.118000,False,True,False,False
Ibitinga Reservoir,Rotognaroiti,rotognaroiti,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-37.477000,175.108000,False,True,False,False
Ibitinga Reservoir,Rotoroa,rotoroa,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,3,-41.855000,172.643000,False,True,False,False
Ibitinga Reservoir,Round Lake,round,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,46.008000,-91.324000,False,True,False,False
Ibitinga Reservoir,Sakatah,sakatah,United States of America (the),1,1,OlmansonLG_US_UMN,UMN,UMN TSS,1,44.227000,-93.518000,False,True,False,False
Ibitinga Reservoir,"San Antonio Bay, TX",san antonio bay tx,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,28.206000,-96.822000,False,True,False,False
Ibitinga Reservoir,"Sapelo Sound, GA",sapelo sound ga,United States of America (the),2,7,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,15,31.541000,-81.207000,False,True,False,False
Ibitinga Reservoir,"Satilla River, GA",satilla river ga,United States of America (the),4,8,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,8,30.961500,-81.763500,False,True,False,False
Ibitinga Reservoir,Serpentine North,serpentine north,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-37.942000,175.319000,False,True,False,False
Ibitinga Reservoir,Seto-Inland Sea,seto inland sea,Japan,3,51,SiswantoE_JP_JAMSTEC,JAMSTEC,APHA 2540 D,51,33.603000,131.707000,False,True,False,False
Ibitinga Reservoir,Shawano Lake,shawano,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,44.809000,-88.514000,False,True,False,False
Ibitinga Reservoir,Shirakaba,shirakaba,Japan,1,2,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,2,36.105500,138.235000,False,True,False,False
Ibitinga Reservoir,Soai Rap River,soai rap river,Viet Nam,3,6,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,6,10.572000,106.778500,False,True,False,False
Ibitinga Reservoir,South China Sea,south china sea,Viet Nam,3,45,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,47,9.963000,106.917000,False,True,False,False
Ibitinga Reservoir,"South End Ceek, GA",south end ceek ga,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,31.396000,-81.280000,False,True,False,False
Ibitinga Reservoir,"South River, MD",south river md,United States of America (the),4,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,38.923000,-76.509000,False,True,False,False
Ibitinga Reservoir,Spiegel- en Blijkpolderplas,spiegel en blijkpolderplas,Netherlands (the),1,2,DekkerAG_NL_VU,VU,VU TSS,2,52.268500,5.062500,False,True,False,False
Ibitinga Reservoir,Spirit River Flowage,spirit river flowage,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,45.445000,-89.769000,False,True,False,False
Ibitinga Reservoir,"St. Helena Sound, SC",st helena sound sc,United States of America (the),2,5,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,5,32.455000,-80.443000,False,True,False,False
Ibitinga Reservoir,"St. Johns River, FL",st johns river fl,United States of America (the),4,6,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,7,29.619500,-81.679500,False,True,False,False
Ibitinga Reservoir,"St. Jones River, DE",st jones river de,United States of America (the),4,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,39.081000,-75.450000,False,True,False,False
Ibitinga Reservoir,"St. Leonard Creek, MD",st leonard creek md,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,38.394000,-76.503000,False,True,False,False
