lake,learner,k,estimand,method,mae_log_median,rer_log_median,label_mae_log_median,delta_mae_median_manuscript,mae_method_median,mae_random_median,query_size_median,n_usable_repeats
Erhai,MLP,3,own_pool,farthest_point_kennard_stone,0.1354660255917241,0.0729186526015458,0.1461209706149854,,,,,
Erhai,MLP,3,own_pool,proposed_weighted_d_optimal,0.1247960511780153,0.0539274032274722,0.1319095935587015,,,,,
Erhai,MLP,3,own_pool,repeated_random,0.14451947900652834,0.02506691734694625,0.14429361869000756,,,,,
Erhai,MLP,3,own_pool,unweighted_d_optimal,0.1287933846211138,0.318698081887245,0.1890401074531826,,,,,
Erhai,MLP,5,own_pool,farthest_point_kennard_stone,0.0962046903189334,0.3311548065799478,0.1438370112799218,,,,,
Erhai,MLP,5,own_pool,proposed_weighted_d_optimal,0.1076718963260285,0.1950239709118208,0.1337578938819228,,,,,
Erhai,MLP,5,own_pool,repeated_random,0.1169136080104988,0.1602785129830627,0.14066175941257425,,,,,
Erhai,MLP,5,own_pool,unweighted_d_optimal,0.1013726205543206,0.4014430713192579,0.1693617093234274,,,,,
Erhai,MLP,10,own_pool,farthest_point_kennard_stone,0.0958743064107112,0.3906529807619981,0.1573394261239407,,,,,
Erhai,MLP,10,own_pool,proposed_weighted_d_optimal,0.1073390214297542,0.147782714932172,0.1259526470400541,,,,,
Erhai,MLP,10,own_pool,repeated_random,0.0978739112426379,0.273712682273568,0.13525381409609985,,,,,
Erhai,MLP,10,own_pool,unweighted_d_optimal,0.1247766674498603,0.0512968113437475,0.1315233989458417,,,,,
Erhai,PLSR,1,own_pool,farthest_point_kennard_stone,0.0930704427209043,0.502925744389769,0.1872365078249813,,,,,
Erhai,PLSR,1,own_pool,proposed_weighted_d_optimal,0.1054361845393315,0.1826791287678438,0.1290021949484441,,,,,
Erhai,PLSR,1,own_pool,repeated_random,0.102306898005698,0.3690401653594322,0.150459379580209,,,,,
Erhai,PLSR,1,own_pool,unweighted_d_optimal,0.0925926150197952,0.3923416026291963,0.1523761036527068,,,,,
Erhai,PLSR,3,own_pool,farthest_point_kennard_stone,0.0928959245674708,0.3642532771372335,0.1461209706149854,,,,,
Erhai,PLSR,3,own_pool,proposed_weighted_d_optimal,0.0856138954258061,0.3509653344708386,0.1319095935587015,,,,,
Erhai,PLSR,3,own_pool,repeated_random,0.09818328937572646,0.3172132444034672,0.1460593945478219,,,,,
Erhai,PLSR,3,own_pool,unweighted_d_optimal,0.1032739363265341,0.4536929636001162,0.1890401074531826,,,,,
