lake,learner,k,rep,mae_log,rer_log,label_only_mae_algebraic,delta_mae_label_minus_calibrated
Lake Chotkowskie,PLSR,3,90,0.324186099950995,0.1723356517151234,0.3916878893553221,0.0675017894043271
Lake Chotkowskie,XGBoost,3,90,0.1517192551376311,0.6126526620113989,0.39168788935532206,0.23996863421769096
Lake Chotkowskie,MLP,3,90,0.1985533627249417,0.49308269912923,0.3916878893553221,0.19313452663038042
Lake Chotkowskie,PLSR,5,90,0.2367851069270333,0.3341243838483584,0.35559961128589135,0.11881450435885804
Lake Chotkowskie,XGBoost,5,90,0.1462994418174583,0.588583780577657,0.3555996112858913,0.209300169468433
Lake Chotkowskie,MLP,5,90,0.1929412283104406,0.4574200118303228,0.3555996112858914,0.1626583829754508
Lake Chotkowskie,PLSR,10,90,0.1657918697640959,0.3721003322301431,0.2640419831307613,0.09825011336666542
Lake Chotkowskie,XGBoost,10,90,0.0936998089859539,0.6451328901325519,0.26404198313076144,0.17034217414480754
Lake Chotkowskie,MLP,10,90,0.1493087709247514,0.4345263828893713,0.2640419831307613,0.11473321220600993
Lake Chotkowskie,PLSR,1,91,0.2504984905619666,0.1548044184844262,0.2963793204654786,0.045880829903512
Lake Chotkowskie,XGBoost,1,91,0.1144117365729486,0.6139685368974305,0.29637932046547844,0.18196758389252982
Lake Chotkowskie,MLP,1,91,0.1385180890781701,0.5326323908599816,0.2963793204654785,0.1578612313873084
Lake Chotkowskie,PLSR,3,91,0.2376442819616924,0.3126492776316187,0.3457394854687026,0.10809520350701018
Lake Chotkowskie,XGBoost,3,91,0.1525729692493864,0.5587053800649808,0.3457394854687026,0.1931665162193162
Lake Chotkowskie,MLP,3,91,0.152538231581199,0.5588058535967659,0.3457394854687025,0.19320125388750348
Lake Chotkowskie,PLSR,5,91,0.1926754235641781,0.3176194721299923,0.2823577445004075,0.08968232093622941
Lake Chotkowskie,XGBoost,5,91,0.1110513227014677,0.606699901343395,0.28235774450040746,0.17130642179893976
Lake Chotkowskie,MLP,5,91,0.1363339557244062,0.5171587691450866,0.28235774450040746,0.14602378877600125
Lake Chotkowskie,PLSR,10,91,0.1450509324947841,0.4148289479542079,0.24787784039549984,0.10282690790071575
Lake Chotkowskie,XGBoost,10,91,0.1030600495692333,0.5842304610726753,0.24787784039549973,0.14481779082626645
Lake Chotkowskie,MLP,10,91,0.1181248410392359,0.5234554001062918,0.24787784039549976,0.12975299935626386
Lake Chotkowskie,PLSR,1,92,0.2674178715636516,0.1576002505544799,0.31744771210541367,0.05002984054176207
Lake Chotkowskie,XGBoost,1,92,0.1203836768330154,0.6207763406377821,0.3174477121054136,0.1970640352723982
Lake Chotkowskie,MLP,1,92,0.2423638330833682,0.2365236030804234,0.3174477121054136,0.07508387902204541
Lake Chotkowskie,PLSR,3,92,0.2352867268369049,0.2361992373726454,0.30804725618438494,0.07276052934748004
Lake Chotkowskie,XGBoost,3,92,0.1490442047607992,0.5161644620095824,0.3080472561843848,0.1590030514235856
Lake Chotkowskie,MLP,3,92,0.1399147937037489,0.545800858949998,0.3080472561843848,0.16813246248063587
Lake Chotkowskie,PLSR,5,92,0.1937401426244129,0.3636979068774791,0.3044782476050837,0.1107381049806708
Lake Chotkowskie,XGBoost,5,92,0.1276036853111842,0.5809103207734146,0.30447824760508385,0.17687456229389964
Lake Chotkowskie,MLP,5,92,0.1408743764884025,0.5373253000182355,0.30447824760508374,0.16360387111668123
Lake Chotkowskie,PLSR,10,92,0.1705325871892269,0.4629381096765198,0.3175287520696986,0.1469961648804717
Lake Chotkowskie,XGBoost,10,92,0.1026464566369392,0.6767333265563892,0.31752875206969844,0.21488229543275922
Lake Chotkowskie,MLP,10,92,0.1672390225001594,0.4733106021323198,0.3175287520696985,0.1502897295695391
Lake Chotkowskie,PLSR,1,93,0.2504984905619666,0.1548044184844262,0.2963793204654786,0.045880829903512
Lake Chotkowskie,XGBoost,1,93,0.1144117365729487,0.6139685368974304,0.2963793204654786,0.1819675838925299
Lake Chotkowskie,MLP,1,93,0.13851808907817,0.5326323908599819,0.2963793204654785,0.15786123138730848
Lake Chotkowskie,PLSR,3,93,0.2570203747063886,0.3154131250995027,0.37543865838484997,0.11841828367846136
Lake Chotkowskie,XGBoost,3,93,0.1068727031127329,0.7153390896774084,0.37543865838484974,0.26856595527211685
Lake Chotkowskie,MLP,3,93,0.1469502201471109,0.6085905834385792,0.37543865838485,0.22848843823773912
Lake Chotkowskie,PLSR,5,93,0.2417599716323261,-0.00314594951715,0.2410017921292852,-0.0007581795030409122
Lake Chotkowskie,XGBoost,5,93,0.1659239191696325,0.311524114327482,0.24100179212928516,0.07507787295965265
