lake,learner,k,variant,delta_spearman_lake,delta_r2_log_lake,mae_log_lake,rer_log_lake,delta_spearman_lake_altmean,delta_r2_log_lake_altmean
Eagle Creek Reservoir,PLSR,10,full_minus_repr1,0.0769961628107267,0.4181117160880502,0.1304146083207152,0.17381163164154556,0.05831393807313246,0.3873055191253123
Eagle Creek Reservoir,PLSR,10,intercept_only,0.0,0.0,0.1607254747460518,-0.0401949125978998,0.0,4.440892098500626e-18
Eagle Creek Reservoir,PLSR,10,repr_only,0.161630549112319,0.4606750632697654,0.12631510541567345,0.1784799522447422,0.08852688262237893,0.358705059826053
Eagle Creek Reservoir,PLSR,10,source_only,0.0,0.0,0.1700913246857575,-0.09209323525041925,0.0,0.0
Eagle Creek Reservoir,XGBoost,5,affine_only,0.0,0.0027814152610832,0.1497256811604266,0.0337503026017416,0.0,0.0019793462940205144
Eagle Creek Reservoir,XGBoost,5,full,-0.0285581833278672,-0.07152223579342054,0.16320382961648922,-0.0460479078045938,-0.08042207434629128,-0.4224679098239193
Eagle Creek Reservoir,XGBoost,5,full_minus_affine,-0.029607331292141097,-0.0755844544908485,0.16321768657922592,-0.048403768301296404,-0.08022042833311857,-0.4210183275244106
Eagle Creek Reservoir,XGBoost,5,full_minus_repr0,0.0,0.0027814152610832,0.1497256811604266,0.0337503026017416,0.0,0.0019793462940205144
Eagle Creek Reservoir,XGBoost,5,intercept_only,0.0,0.0,0.149641813192394,0.03171735996406205,0.0,-9.167134226162332e-09
Eagle Creek Reservoir,XGBoost,5,repr_only,-0.029607331292141097,-0.0755844544908485,0.16321768657922592,-0.048403768301296404,-0.08022042833311857,-0.4210183275244106
Eagle Creek Reservoir,XGBoost,5,source_only,0.0,0.0,0.14498372823333974,0.0636163645124452,0.0,0.0
Eagle Creek Reservoir,XGBoost,10,affine_only,0.0,0.01175816822825045,0.14858930340913135,0.045074868014158206,0.0,0.008641101871910596
Eagle Creek Reservoir,XGBoost,10,full,0.2582394116878131,0.26141549746645515,0.13299644407244648,0.14575093461025715,0.22689659804482445,0.21652352076084128
Eagle Creek Reservoir,XGBoost,10,full_minus_affine,0.24601626654727898,0.2369957925588762,0.13663737184516828,0.11965621257437185,0.21352016328229836,0.17918400423241337
Eagle Creek Reservoir,XGBoost,10,full_minus_repr0,0.2586793463510588,0.2610950691645887,0.1305569978617743,0.147602753341776,0.22698780879862376,0.2264481520899656
Eagle Creek Reservoir,XGBoost,10,full_minus_repr1,-0.0361446406668518,-0.0199567499240275,0.15444569231699906,0.006721272171399201,-0.0732067886626082,-0.07162204929902831
Eagle Creek Reservoir,XGBoost,10,intercept_only,0.0,0.0,0.14970954988386626,0.0348124414876739,0.0,1.2373428613932094e-08
Eagle Creek Reservoir,XGBoost,10,repr_only,0.24601626654727898,0.2369957925588762,0.13663737184516828,0.11965621257437185,0.21352016328229836,0.17918400423241337
Eagle Creek Reservoir,XGBoost,10,source_only,0.0,0.0,0.14512317955151333,0.0576714899618264,0.0,0.0
Erhai,MLP,5,affine_only,0.0,0.07834336857011509,0.1417919081615842,0.0035450695391626,0.0,0.07250037438723422
Erhai,MLP,5,full,0.045462878857393696,0.38169488229430537,0.12382750396913411,0.12943592056623845,-0.14691203156941016,-0.49710399165923086
Erhai,MLP,5,full_minus_affine,0.0432616002317782,0.3809675726522173,0.12405482279582555,0.12865025264380606,-0.14767273161970898,-0.5029817090475578
Erhai,MLP,5,full_minus_repr0,0.0,0.07834336857011509,0.1417919081615842,0.0035450695391626,0.0,0.07250037438723422
Erhai,MLP,5,intercept_only,0.0,0.0,0.14777402345419816,-0.05618240466255675,0.0,6.661338147750939e-18
Erhai,MLP,5,repr_only,0.0432616002317782,0.3809675726522173,0.12405482279582555,0.12865025264380606,-0.14767273161970898,-0.5029817090475578
Erhai,MLP,5,source_only,0.0,0.0,0.14725474138042816,-0.028582209705073552,0.0,0.0
Erhai,MLP,10,affine_only,0.0,0.13489750921963845,0.13259358134375335,0.061044529409277695,0.0,0.14597584159180957
Erhai,MLP,10,full,0.1699106881253028,0.5652427134805533,0.0995039557592757,0.29205341294056975,0.10963329718318747,0.43094060897900754
Erhai,MLP,10,full_minus_affine,0.1700503759699226,0.5666297285903009,0.09965549591152675,0.29071253124805074,0.10999049409857559,0.43298200840978446
Erhai,MLP,10,full_minus_repr0,0.180874715824419,0.5920452581274844,0.0970694436563047,0.3170538489270889,0.13032413120558115,0.5406993992098696
Erhai,MLP,10,full_minus_repr1,0.100282344300021,0.43782531303132277,0.10755505186731025,0.23023973348977925,0.032241641687210165,0.3222110254189679
Erhai,MLP,10,intercept_only,0.0,0.0,0.14584669923052657,-0.045515013668888604,0.0,1.8873791418627663e-17
