lake,learner,k,rep,method,mae_log,mae_orig,rer_log,demeaned_spearman,anomaly_r2
Lake Erie,MLP,10,9,calibrated,0.1918562496269005,296.45958045369554,0.431726494519761,0.842444540436556,-104131.56944862494
Lake Erie,PLSR,0,10,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,10,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,10,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,10,calibrated,0.3795446524120574,266.04565396479325,0.4239252340368041,0.7296527504925346,-94013.64325387042
Lake Erie,XGBoost,1,10,calibrated,0.3408403024473493,8.13595871274667,0.4826708878578299,0.7831624079871674,0.3187114474121112
Lake Erie,MLP,1,10,calibrated,0.2641080723007097,88.57781405630865,0.5991354463175387,0.8042298508266873,-11863.732971616751
Lake Erie,PLSR,3,10,calibrated,0.3371547320141975,334.693692920686,-0.0325561512663649,0.7299188356659897,-100960.54341796166
Lake Erie,XGBoost,3,10,calibrated,0.2175517580698654,6.720415647256701,0.3337349639592085,0.7834392335852546,0.2870659993232578
Lake Erie,MLP,3,10,calibrated,0.2056382783353782,148.84709876474673,0.3702206936551411,0.8043356373997012,-36468.14472877004
Lake Erie,PLSR,5,10,calibrated,0.2829723806184619,12.82548566412982,0.1278469972205295,0.5582212735595216,-48.15075989774229
Lake Erie,XGBoost,5,10,calibrated,0.1951140312252645,6.026350168713521,0.3986363949955283,0.8133044915982441,0.3439592474749235
Lake Erie,MLP,5,10,calibrated,0.2224961050509882,244.1893918536557,0.3142417377738846,0.7878578753261047,-93748.21833754412
Lake Erie,PLSR,10,10,calibrated,0.3205416570842717,841.0664319884975,0.0626186440782411,0.8064756868163091,-369037.8862170596
Lake Erie,XGBoost,10,10,calibrated,0.2294451192860748,21.594759039050523,0.3290183196580203,0.7929163636646541,-121.9327443320733
Lake Erie,MLP,10,10,calibrated,0.2291839629931657,692.5766950918102,0.329782036407176,0.8394010480924204,-300065.76297559374
Lake Erie,PLSR,0,11,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,11,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,11,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,11,calibrated,0.3529419370880162,278.7879773380865,0.1652683038280468,0.7305036679733703,-94867.78509174148
Lake Erie,XGBoost,1,11,calibrated,0.5217881379532112,26.55801771199914,-0.2340644385768869,0.7836470694119332,-5.662569726733283
Lake Erie,MLP,1,11,calibrated,0.2072568251587465,151.16690013138486,0.5098234965192507,0.8044027822045017,-37056.33394514248
Lake Erie,PLSR,3,11,calibrated,0.3395255224087751,344.9165921476793,-0.0490816380589633,0.7308106734233094,-101915.87928096052
Lake Erie,XGBoost,3,11,calibrated,0.200149322116576,6.639659292467944,0.3815693691617101,0.7835733219657388,0.1738408288786561
Lake Erie,MLP,3,11,calibrated,0.2023827331955763,142.3482527779818,0.3746684726765653,0.8050823125986829,-32926.88967003144
Lake Erie,PLSR,5,11,calibrated,0.4045394401340534,723.9364266561347,-0.2591159825156875,0.7039232231068546,-232735.3372783749
Lake Erie,XGBoost,5,11,calibrated,0.2144606417047231,7.9211440012938095,0.3324981430298919,0.7785806695833981,-0.4057496532258016
Lake Erie,MLP,5,11,calibrated,0.2133409175626897,159.57918669483894,0.3359832482842144,0.8048293660995894,-40458.93094320218
Lake Erie,PLSR,10,11,calibrated,0.3188781821763376,287.32375206072703,0.065604530702608,0.6180901273544116,-106015.86288206997
Lake Erie,XGBoost,10,11,calibrated,0.2194055153097252,165.96880393218805,0.3570851384065441,0.8311097195237372,-47002.1482770798
Lake Erie,MLP,10,11,calibrated,0.2266327730350514,696.637893706735,0.3359074064710378,0.8403515143854356,-314327.16170769965
