lake,learner,k,variant,mae_log_median,rer_log_median,spearman_median,source_spearman_median,delta_spearman_median,delta_spearman_mean,delta_r2_log_median,delta_r2_log_mean
Dianchi,PLSR,5,source_only,0.2696938318207373,-1.4348690657570233,0.5162629486071342,0.5162629486071342,0.0,0.0,0.0,0.0
Dianchi,PLSR,10,affine_only,0.16120891830473771,-0.4494835123853318,0.5136026807789248,0.5136026807789248,0.0,0.0,5.061220787820419,5.019619861475777
Dianchi,PLSR,10,full,0.18334951986505346,-0.7034212161671802,0.25338118846834345,0.5136026807789248,-0.2585792191837879,-0.24525629646188796,5.016379796490219,4.712639549787528
Dianchi,PLSR,10,full_minus_affine,0.2043492224693857,-0.8743274661532899,0.23355924239593173,0.5136026807789248,-0.2645124736502559,-0.2706806613117413,4.089582672248637,3.8486687729177094
Dianchi,PLSR,10,full_minus_repr0,0.1801219565233063,-0.7026458880089186,0.5777824807731109,0.5136026807789248,0.04015112418057121,0.019456589091542496,4.555159213536166,4.332369931910272
Dianchi,PLSR,10,full_minus_repr1,0.16836512947124732,-0.5927098328675104,0.33329521904140225,0.5136026807789248,-0.18491511054333468,-0.17273532295151603,5.818837042183796,5.238194128268191
Dianchi,PLSR,10,intercept_only,0.27864693820149583,-1.6661141130685788,0.5136026807789248,0.5136026807789248,0.0,0.0,0.0,3.9968028886505634e-17
Dianchi,PLSR,10,repr_only,0.2043492224693857,-0.8743274661532899,0.23355924239593173,0.5136026807789248,-0.2645124736502559,-0.2706806613117413,4.089582672248637,3.8486687729177094
Dianchi,PLSR,10,source_only,0.27086730031903816,-1.521503158241854,0.5136026807789248,0.5136026807789248,0.0,0.0,0.0,0.0
Dianchi,XGBoost,5,affine_only,0.2022305833868288,-0.8869092912069134,0.21645243903104594,0.21645243903104594,0.0,0.0,0.9788167512660542,1.0137928958943128
Dianchi,XGBoost,5,full,0.2043294284915556,-0.9300194622227329,0.08843847592145201,0.21645243903104594,-0.0975995405754804,-0.17294455143199447,1.1078492933364696,-5.063367349068967
Dianchi,XGBoost,5,full_minus_affine,0.2176525765532279,-1.0499712245456085,0.08574988125322142,0.21645243903104594,-0.0993241490206711,-0.17589016698457446,0.7666554364582354,-5.826866691310147
Dianchi,XGBoost,5,full_minus_repr0,0.2022305833868288,-0.8869092912069134,0.21645243903104594,0.21645243903104594,0.0,0.0,0.9788167512660542,1.0137928958943128
Dianchi,XGBoost,5,intercept_only,0.23448071140978716,-1.1917076209244915,0.21645243903104594,0.21645243903104594,0.0,0.0,4.280517451604737e-08,4.717369558093765e-08
Dianchi,XGBoost,5,repr_only,0.2176525765532279,-1.0499712245456085,0.08574988125322142,0.21645243903104594,-0.0993241490206711,-0.17589016698457446,0.7666554364582354,-5.826866691310147
Dianchi,XGBoost,5,source_only,0.3086206422448814,-1.8478208732051176,0.21645243903104594,0.21645243903104594,0.0,0.0,0.0,0.0
Dianchi,XGBoost,10,affine_only,0.1680633388774671,-0.5850502144314855,0.21697565386892328,0.21697565386892328,0.0,0.0,1.7236064023569475,1.7435260583457903
Dianchi,XGBoost,10,full,0.166873015119689,-0.6110127744512854,0.4049906697903174,0.21697565386892328,0.19378142372512103,0.12660598130768394,1.332624964148094,0.30931233513656375
Dianchi,XGBoost,10,full_minus_affine,0.19471623956224693,-0.8533901451449308,0.3435391169084461,0.21697565386892328,0.1355751303153089,0.08374492706346738,0.5963425807164213,-0.7484797695175213
Dianchi,XGBoost,10,full_minus_repr0,0.1518285031046781,-0.45329044504189464,0.57735461597778,0.21697565386892328,0.3644873431766872,0.3277952419161147,1.9525841424287786,1.8664854774938127
Dianchi,XGBoost,10,full_minus_repr1,0.1805294887123445,-0.7442944285231055,0.09423053388709053,0.21697565386892328,-0.10251175695144253,-0.16450815399663277,1.6127376216016065,0.8493462496634442
Dianchi,XGBoost,10,intercept_only,0.22768009535734418,-1.1972325977359546,0.21697565386892328,0.21697565386892328,0.0,0.0,5.129275049142734e-08,2.837867641325431e-08
Dianchi,XGBoost,10,repr_only,0.19471623956224693,-0.8533901451449308,0.3435391169084461,0.21697565386892328,0.1355751303153089,0.08374492706346738,0.5963425807164213,-0.7484797695175213
Dianchi,XGBoost,10,source_only,0.3080033469721825,-1.9373076243689065,0.21697565386892328,0.21697565386892328,0.0,0.0,0.0,0.0
Eagle Creek Reservoir,MLP,5,affine_only,0.11741508176634205,0.2527383776421954,0.7293247351129168,0.7293247351129168,0.0,0.0,0.01103432825536621,0.009443407657934487
Eagle Creek Reservoir,MLP,5,full,0.13259142464281448,0.1791129212392569,0.6887964866153907,0.7293247351129168,-0.032276591357082884,-0.06889143353694298,-0.10829775013038834,-0.3413128961755405
Eagle Creek Reservoir,MLP,5,full_minus_affine,0.13392121820753386,0.17308245393325117,0.6908532669829449,0.7293247351129168,-0.030448207475420264,-0.06898385831357035,-0.10934412116111741,-0.34249540640632664
