lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
Geist Reservoir,MLP,1,0.06549982382490313,0.06549982382490313,0.0,0.09514816889582689,0.09514816889582678,0.0,0.01764457876560155
Geist Reservoir,MLP,3,0.06307851497954547,0.06307851497954547,0.0,0.10559790934279045,0.10178622788044456,0.003573238008438784,0.00372194321006708
Geist Reservoir,MLP,5,0.051263488375370286,0.06685904297458953,0.0008148299796057312,-0.009908753402811277,0.11418963896029838,-0.07979149276744407,-0.07798455024534595
Geist Reservoir,MLP,10,0.2616530083011336,0.05793446958001976,0.2026003494348707,0.049174073501089766,0.1405475648109094,-0.023404472720642333,-0.08867110162962077
Geist Reservoir,PLSR,1,0.29732950330213603,0.29732950330213603,0.0,0.27719316883965645,0.27719316883965633,0.0,-0.015038024170044628
Geist Reservoir,PLSR,3,0.2960797087580259,0.2960797087580259,0.0,0.29767985655196544,0.28464942691825507,0.008780064847041025,0.006138753257341534
Geist Reservoir,PLSR,5,0.2444406748974502,0.29786224480562834,-0.037843055751632715,0.25825678592413714,0.29800435488875904,-0.03340833077084876,-0.20937003117912328
Geist Reservoir,PLSR,10,0.3817867907113419,0.2872920670340778,0.118842948083956,0.21218743096599335,0.2953041290098976,-0.05896054711221377,-0.36702054412328505
Geist Reservoir,XGBoost,1,0.125746567894796,0.125746567894796,0.0,-0.06908590174760021,-0.06908596431733649,0.0,-0.0020802046007037944
Geist Reservoir,XGBoost,3,0.1355245005685869,0.1355245005685869,0.0,-0.03957277222303546,-0.05082127448626306,0.011253330142055096,-0.0004436665572897236
Geist Reservoir,XGBoost,5,0.0754850600070989,0.12849561657342812,-0.04001539349681767,-0.2997193356424198,-0.050093194377547445,-0.2234750950601273,-0.14591665966402673
Geist Reservoir,XGBoost,10,0.25163087677400675,0.13810449942487724,0.13321818753193404,-0.061335009418574504,-0.024853271290365297,-0.03652611729759547,-0.08561982199390022
High Rock Lake,MLP,1,0.6201789015895134,0.6201789015895134,0.0,0.34775694407307584,0.34775694407307595,0.0,0.09393481402288784
High Rock Lake,MLP,3,0.6175894357825732,0.6175894357825732,0.0,0.3798407222498219,0.34765640470650194,0.0447056891553258,0.3418968926146804
High Rock Lake,MLP,5,0.591557555566198,0.61703474183658,-0.01798850841670302,0.35115947269280545,0.3499526167479804,0.037965610021063745,-0.04363630943296959
High Rock Lake,MLP,10,0.5589911913941966,0.6156984799071678,-0.04247680391751596,0.2333076796025204,0.353820765330228,-0.1391341323122977,-0.7057177032364944
High Rock Lake,PLSR,1,0.6259285397693175,0.6259285397693175,0.0,-0.921208497419465,-0.9212084974194648,0.0,1029.9153905983767
