lake,learner,k,rep,worst_metric,diff_val
Lake Erie,PLSR,10,32,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,32,anomaly_r2,1.4551915228366852e-11
Lake Erie,MLP,10,32,mae_log,8.326672684688674e-17
Lake Erie,PLSR,1,33,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,1,33,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,33,anomaly_r2,7.275957614183426e-12
Lake Erie,PLSR,3,33,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,3,33,anomaly_r2,8.326672684688674e-17
Lake Erie,MLP,3,33,rer_log,5.551115123125783e-17
Lake Erie,PLSR,5,33,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,33,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,5,33,mae_log,0.0
Lake Erie,PLSR,10,33,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,33,mae_log,8.326672684688674e-17
Lake Erie,MLP,10,33,mae_log,0.0
Lake Erie,PLSR,1,34,mae_log,0.0
Lake Erie,XGBoost,1,34,anomaly_r2,1.7763568394002505e-15
Lake Erie,MLP,1,34,rer_log,5.551115123125783e-17
Lake Erie,PLSR,3,34,rer_log,6.938893903907228e-17
Lake Erie,XGBoost,3,34,anomaly_r2,7.632783294297951e-17
Lake Erie,MLP,3,34,mae_log,0.0
Lake Erie,PLSR,5,34,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,34,mae_log,5.551115123125783e-17
Lake Erie,MLP,5,34,mae_log,8.326672684688674e-17
Lake Erie,PLSR,10,34,mae_log,0.0
Lake Erie,XGBoost,10,34,anomaly_r2,2.9103830456733704e-11
Lake Erie,MLP,10,34,mae_log,0.0
Lake Erie,PLSR,1,35,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,1,35,mae_log,8.326672684688674e-17
Lake Erie,MLP,1,35,mae_log,8.326672684688674e-17
Lake Erie,PLSR,3,35,rer_log,6.938893903907228e-17
Lake Erie,XGBoost,3,35,anomaly_r2,8.326672684688674e-17
Lake Erie,MLP,3,35,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,5,35,anomaly_r2,4.547473508864641e-13
Lake Erie,XGBoost,5,35,mae_log,5.551115123125783e-17
Lake Erie,MLP,5,35,anomaly_r2,4.547473508864641e-13
Lake Erie,PLSR,10,35,rer_log,1.1102230246251565e-16
Lake Erie,XGBoost,10,35,rer_log,4.163336342344337e-17
Lake Erie,MLP,10,35,mae_log,8.326672684688674e-17
Lake Erie,PLSR,1,36,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,1,36,rer_log,8.847089727481716e-17
Lake Erie,MLP,1,36,rer_log,5.551115123125783e-17
Lake Erie,PLSR,3,36,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,36,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,36,mae_log,0.0
Lake Erie,PLSR,5,36,mae_log,5.551115123125783e-17
