lake,learner,k,rep,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_origspace,source_anomaly_r2_origspace,delta_anomaly_r2_origspace,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace
Lake Erie,MLP,5,8,0.6499031184124405,0.8077503997671373,-0.15784728135469672,-343.36752064952515,-58427.71120124579,58084.34368059626,0.2744328887873587,0.38478517812824475,-0.11035228934088603
Lake Erie,PLSR,10,8,0.7634960974806559,0.728091734530547,0.03540436295010896,-306049.1519316512,-103066.9777144402,-202982.17421721102,-0.8305292634998489,-0.5363789639015819,-0.294150299598267
Lake Erie,XGBoost,10,8,0.7840395313131765,0.7815713464619527,0.002468184851223798,-1091.2764131368042,-0.3782960686398824,-1090.8981170681643,0.39452839197284306,0.5572749217443604,-0.16274652977151738
Lake Erie,MLP,10,8,0.845428394981467,0.8024330965918243,0.04299529838964278,-116969.12894319731,-58742.285112794256,-58226.84383040306,0.20016826630091644,0.37277810338521755,-0.1726098370843011
Lake Erie,PLSR,1,9,0.7297446770899138,0.7297446770899138,0.0,-3991.6638678766376,-103161.49144713704,99169.82757926041,-0.5232333594625089,-0.5232333594625089,0.0
Lake Erie,XGBoost,1,9,0.783429729139386,0.783429729139386,0.0,-1.9648629818410144,-0.397860039328751,-1.5670029425122634,0.5584500689029599,0.5584500640769434,4.826016475334427e-09
Lake Erie,MLP,1,9,0.8043860057954423,0.8043860057954423,0.0,-71331.41325058053,-58792.732871469154,-12538.680379111378,0.37770077587258244,0.37770077587258244,0.0
Lake Erie,PLSR,3,9,0.7301176823301725,0.7301176823301725,0.0,0.22687003214015622,-100650.26066510523,100650.48753513738,0.23948534640055597,-0.44561934321705277,0.6851046896176087
Lake Erie,XGBoost,3,9,0.783236041313679,0.783236041313679,0.0,0.35295345708281023,-0.19244430306864246,0.5453977601514527,0.516645195511767,0.564773652181094,-0.04812845666932697
Lake Erie,MLP,3,9,0.8047497300205566,0.8047497300205566,0.0,0.19316859540923093,-57748.4041020933,57748.59727068871,0.28945537465086735,0.4503748009384997,-0.16091942628763234
Lake Erie,PLSR,5,9,0.6382782729651115,0.7322899084300653,-0.09401163546495372,-16.01026981531672,-102709.943293064,102693.93302324868,0.284436777232446,-0.49613028553688987,0.7805670627693359
Lake Erie,XGBoost,5,9,0.7945855173242733,0.7844269743078395,0.010158543016433819,0.3059406635702535,-0.36491316863877477,0.6708538322090283,0.5382794742963466,0.5620607441272352,-0.023781269830888574
Lake Erie,MLP,5,9,0.8097491948249481,0.8089454615381365,0.0008037332868116032,-214.21710218287984,-58536.919008327175,58322.7019061443,0.5058556377742978,0.3859948660952657,0.11986077167903209
Lake Erie,PLSR,10,9,0.6851713775143464,0.7270305891389971,-0.04185921162465067,-1005.2202976952608,-103402.61551929665,102397.3952216014,0.2396355338186964,-0.5106264102860563,0.7502619441047527
Lake Erie,XGBoost,10,9,0.742981484895867,0.7807778358620926,-0.03779635096622558,0.28875016235373985,-0.3737088497861427,0.6624590121398826,0.5088053060589977,0.559074069439906,-0.050268763380908354
Lake Erie,MLP,10,9,0.842444540436556,0.801791902393177,0.04065263804337904,-104131.56944862494,-58935.62831142834,-45195.9411371966,0.2582237179052139,0.3733778395412479,-0.115154121636034
Lake Erie,PLSR,1,10,0.7296527504925346,0.7296527504925346,0.0,-94013.64325387042,-102478.83096781482,8465.187713944397,-0.5296116158044282,-0.5296116158044282,0.0
Lake Erie,XGBoost,1,10,0.7831624079871674,0.7831624079871674,0.0,0.3187114474121112,-0.3917492326512071,0.7104606800633183,0.5583537128096204,0.5583537132795853,-4.699648448180938e-10
Lake Erie,MLP,1,10,0.8042298508266873,0.8042298508266873,0.0,-11863.732971616753,-58404.28994588741,46540.55697427066,0.37782971712545654,0.37782971712545654,0.0
Lake Erie,PLSR,3,10,0.7299188356659897,0.7299188356659897,0.0,-100960.54341796166,-102504.48372009922,1543.940302137562,-0.6144620915867496,-0.5257657614220199,-0.08869633016472966
Lake Erie,XGBoost,3,10,0.7834392335852546,0.7834392335852546,0.0,0.2870659993232578,-0.3920386144157548,0.6791046137390127,0.5563223691015291,0.5586997516623531,-0.002377382560823982
Lake Erie,MLP,3,10,0.8043356373997012,0.8043356373997012,0.0,-36468.144728770036,-58419.53849858216,21951.393769812123,0.3589567706670689,0.37901683658775553,-0.020060065920686654
Lake Erie,PLSR,5,10,0.5582212735595216,0.7305275220508581,-0.17230624849133658,-48.15075989774229,-102492.23476945439,102444.08400955664,0.2071999376217888,-0.49438951897863737,0.7015894566004262
Lake Erie,XGBoost,5,10,0.8133044915982441,0.7839261228714981,0.02937836872674604,0.34395924747492357,-0.38463285640621203,0.7285921038811356,0.5811764429527639,0.5603388032879772,0.02083763966478669
Lake Erie,MLP,5,10,0.7878578753261047,0.8067575703198855,-0.018899694993780747,-93748.21833754411,-58414.362717732925,-35333.855619811184,0.22502490412660436,0.38215367922812193,-0.15712877510151757
Lake Erie,PLSR,10,10,0.8064756868163091,0.7288540711413193,0.07762161567498982,-369037.8862170596,-103469.8428634516,-265568.043353608,-1.0706437818499008,-0.5435418726179155,-0.5271019092319853
Lake Erie,XGBoost,10,10,0.7929163636646541,0.7824476764599563,0.010468687204697846,-121.9327443320733,-0.4026593643055587,-121.53008496776773,0.42526706370037337,0.559241617198102,-0.13397455349772858
Lake Erie,MLP,10,10,0.8394010480924204,0.8028938723013168,0.03650717579110363,-300065.76297559374,-58971.80942287476,-241093.95355271897,-0.38519742466227114,0.37313281864469716,-0.7583302433069683
