lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Ibitinga Reservoir,XGBoost,10,calibrated,0.45862611928985025,0.189863286194292,0.7503229140317962
Lake Chotkowskie,MLP,0,source_only,,0.217364156196335,0.9186900056465276
Lake Chotkowskie,MLP,1,calibrated,0.4895892301178985,0.17131328937518803,0.918181818181818
Lake Chotkowskie,MLP,3,calibrated,0.5237393434257678,0.14294398530645805,0.9149122807017542
Lake Chotkowskie,MLP,5,calibrated,0.5157733605004814,0.14846371697996086,0.9056372549019609
Lake Chotkowskie,MLP,10,calibrated,0.5731876665743993,0.1279990256412252,0.9020979020979022
Lake Chotkowskie,PLSR,0,source_only,,0.2247490677423241,0.8701298701298703
Lake Chotkowskie,PLSR,1,calibrated,0.1499399607368563,0.27785876761861805,0.8668831168831168
Lake Chotkowskie,PLSR,3,calibrated,0.19086958300692763,0.23671367676894411,0.8614035087719297
Lake Chotkowskie,PLSR,5,calibrated,0.3470963438992965,0.19513312564228424,0.8002450980392157
Lake Chotkowskie,PLSR,10,calibrated,0.45348434346618693,0.1621776712144963,0.8811188811188813
Lake Chotkowskie,XGBoost,0,source_only,,0.1481669855342786,0.9209486166007904
Lake Chotkowskie,XGBoost,1,calibrated,0.5859482076319,0.1467663690301696,0.9194805194805192
Lake Chotkowskie,XGBoost,3,calibrated,0.6030170885116127,0.12027956390203284,0.9149122807017542
Lake Chotkowskie,XGBoost,5,calibrated,0.5857427806157649,0.1303578513244299,0.9093137254901962
Lake Chotkowskie,XGBoost,10,calibrated,0.6231022376292226,0.1106295436163999,0.9020979020979022
Lake Erie,MLP,0,source_only,,0.245653023027792,0.8051405015429922
Lake Erie,MLP,1,calibrated,0.3719174164588771,0.24971225844498662,0.8050092573449263
Lake Erie,MLP,3,calibrated,0.3754268946893593,0.22236651840083965,0.8045657011510015
Lake Erie,MLP,5,calibrated,0.30274012716558857,0.2381115951433333,0.7746642497232624
Lake Erie,MLP,10,calibrated,0.3300237969652659,0.22160015690097826,0.8358282695958034
Lake Erie,PLSR,0,source_only,,0.3504768844752889,0.7310627688327969
Lake Erie,PLSR,1,calibrated,0.0224637906837652,0.3892940997462597,0.731044876600071
Lake Erie,PLSR,3,calibrated,0.0530276242012332,0.34073051243194336,0.7308027121205611
Lake Erie,PLSR,5,calibrated,0.1227449722703373,0.3141672780551594,0.7002900115648691
Lake Erie,PLSR,10,calibrated,0.07425269284142474,0.30355314508413456,0.6911013681105165
Lake Erie,XGBoost,0,source_only,,0.2554247538293229,0.7840159118481286
Lake Erie,XGBoost,1,calibrated,0.3731014627429343,0.240113254512627,0.7838636958183249
Lake Erie,XGBoost,3,calibrated,0.3776760144528777,0.21828064015651985,0.783563389942028
Lake Erie,XGBoost,5,calibrated,0.3289160865783786,0.2350688359436055,0.7716100690342049
Lake Erie,XGBoost,10,calibrated,0.3049524237526037,0.22785508763815615,0.8098624161928796
Lake Geneva,MLP,0,source_only,,0.4010846935296235,0.5515426693024188
Lake Geneva,MLP,1,calibrated,0.2751626384493363,0.2240028708431783,0.5548729092001964
Lake Geneva,MLP,3,calibrated,0.28886838944810805,0.20796123229152064,0.5528651893298939
Lake Geneva,MLP,5,calibrated,0.284587360629859,0.20557412149790083,0.5064759084683947
