lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
High Rock Lake,MLP,5,calibrated,0.08574392472718664,0.21519728601061405,0.591557555566198
High Rock Lake,MLP,10,calibrated,0.02939693857893725,0.2198406076765187,0.5589911913941966
High Rock Lake,PLSR,0,source_only,,0.3492482310370601,0.6245031375727166
High Rock Lake,PLSR,1,calibrated,-0.6790277782470875,0.4405916218443443,0.6259285397693175
High Rock Lake,PLSR,3,calibrated,-0.19424432467027586,0.3149059600124161,0.6223658242180802
High Rock Lake,PLSR,5,calibrated,0.1727396482493191,0.19768128330671486,0.6287186425651243
High Rock Lake,PLSR,10,calibrated,0.08623782897375229,0.20951158981687895,0.6107643078896456
High Rock Lake,XGBoost,0,source_only,,0.2585677620258755,0.6134406597955181
High Rock Lake,XGBoost,1,calibrated,-0.03320164395507205,0.30336427350966355,0.615569767338034
High Rock Lake,XGBoost,3,calibrated,0.10097084862647884,0.21751952924683693,0.614164565723436
High Rock Lake,XGBoost,5,calibrated,0.17830960307131605,0.19284389295792745,0.6033464518902354
High Rock Lake,XGBoost,10,calibrated,0.131990700684745,0.2000028932049718,0.5897428726683118
Ibitinga Reservoir,MLP,0,source_only,,0.3069497260148386,0.7501711789346733
Ibitinga Reservoir,MLP,1,calibrated,0.47497474130666584,0.24275402293590287,0.7436250589350255
Ibitinga Reservoir,MLP,3,calibrated,0.43756123707685557,0.2088778620498885,0.7455996965954108
Ibitinga Reservoir,MLP,5,calibrated,0.4351382283207383,0.21478866518186485,0.6975537648088926
Ibitinga Reservoir,MLP,10,calibrated,0.42068504599790546,0.2051428424406969,0.7623230819087345
Ibitinga Reservoir,PLSR,0,source_only,,0.2501259505512843,0.5689254415424275
Ibitinga Reservoir,PLSR,1,calibrated,0.28279499391659274,0.3109114845405023,0.5664987615295574
Ibitinga Reservoir,PLSR,3,calibrated,0.31449225903964007,0.25472241442233867,0.5703291310061581
Ibitinga Reservoir,PLSR,5,calibrated,0.3023436429108909,0.25955621667294304,0.4796737444743344
Ibitinga Reservoir,PLSR,10,calibrated,0.26566203541742106,0.2666005383798564,0.6780272399717058
Ibitinga Reservoir,XGBoost,0,source_only,,0.3506568784640612,0.6967830840834831
Ibitinga Reservoir,XGBoost,1,calibrated,0.3413353988385259,0.26942364033828664,0.6974046126638135
Ibitinga Reservoir,XGBoost,3,calibrated,0.3624061722185094,0.23659947345469615,0.6930256939317891
Ibitinga Reservoir,XGBoost,5,calibrated,0.39396014921202954,0.2246482420353905,0.603140153250344
